question,correct,wrong1,wrong2,blank_sentence,original_context,context_translation
〜に関する追加の知見とともに,with additional insights into,without any reference to,by direct opposition to,"Machine learning algorithms can provide enhanced detection of disease states, [   ] the underlying mechanisms.","Utilization of machine learning algorithms is already advantageous in clinical practice and can provide enhanced detection and/or identification of disease states, with additional insights into the mechanisms driving disease.",機械学習アルゴリズムの利用は臨床実践において既に有利であり、病態を惹起するメカニズムに関する追加の知見とともに、病態の検出および／または同定の向上をもたらすことができます。
〜の構成要素［基礎］として機能する,serve as building blocks for,act as temporary solutions for,form absolute limitations to,These core principles [   ] an end-to-end workflow aligned with regulatory standards.,"The CLSI’s framework utilizes 12 Quality System Essentials (QSEs), which serve as the quality building blocks for an end-to-end workflow that aligns with standard QMS elements and regulatory requirements.",CLSIのフレームワークは12の品質システムエッセンシャル（QSE）を利用しており、これらは標準的なQMS要素および規制要件に整合するエンドツーエンドのワークフローの品質構成要素［基礎］として機能します。
〜とは対照的に,In contrast to,In addition to,In accordance with,"[   ] established human guidelines, the new protocol includes species-specific breakpoints.","In contrast to CLSI M100 and EUCAST, CLSI VET01S currently includes species-specific β-lactam breakpoints for canids, felids, and equids.",CLSI M100やEUCASTとは対照的に、CLSI VET01Sには現在、イヌ科、ネコ科、ウマ科に対する菌種特異的なβ-ラクタムブレイクポイントが含まれています。
考慮［検討］に値する,warrant consideration,require immediate dismissal,lack clinical relevance,The present study outlined several potential limitations that [   ].,The study presented several limitations that warrant consideration.,本研究には、考慮に値するいくつかの限界が存在しました。
〜の必要性を強調する［浮き彫りにする］,highlight the need for,eliminate the possibility of,demonstrate the futility of,"Collectively, these reports [   ] rigorous supplemental testing.","Collectively, these reports highlight the need for rigorous supplemental testing to address the ongoing issues of NG screening assay non-specificity.",総合すると、これらの報告はNGスクリーニング試験の非特異性という継続的な問題に対処するために、厳密な補足試験の必要性を強調しています。
著しい罹患率および死亡率に関連している,are associated with significant morbidity and mortality,are completely unrelated to patient health outcomes,have proven to be entirely harmless in practice,"Severe bacterial infections [   ], particularly in immunocompromised individuals.","Pseudomonas aeruginosa is an important human pathogen causing severe infections (e.g., pneumonia, urinary tract infection, and bloodstream infection), which are associated with significant morbidity and mortality, particularly in patients with risk factors such as immunosuppression, chronic obstructive pulmonary disease (COPD), and cystic fibrosis.",緑膿菌（Pseudomonas aeruginosa）は重症感染症（肺炎、尿路感染症、血流感染症など）を引き起こす重要なヒト病原体であり、これらは特に免疫抑制、慢性閉塞性肺疾患（COPD）、嚢胞性線維症などのリスク因子を持つ患者において著しい罹患率および死亡率に関連しています。
〜との格差［隔たり］を縮める,narrowing the gap with,widening the distance from,reversing the correlation to,"Recent technological advances have improved sequencing accuracy, [   ] standard gold methods.","However, recent advancements in ONT—especially with the R10.4 flow cell and V14 chemistry—have improved accuracy to about 99%, narrowing the gap with Illumina.",しかし、ONTの最近の進歩（特にR10.4フローセルとV14ケミストリー）により精度が約99%まで向上し、Illuminaとの格差が縮まりました。
〜によって著しく異なる［多様である］,varied markedly according to,remained completely identical across,showed no dependent relation to,The diagnostic performance of the new testing assays [   ] bacterial species and genetic variants.,"We found that the diagnostic performance of CIM, mCIM, and CIM-Tris varied markedly according to bacterial genus and GES variants, reflecting fundamental differences in carbapenem hydrolytic activity and resistance phenotypes.",CIM、mCIM、およびCIM-Trisの診断性能は、カルバペネム加水分解活性および耐性表現型の根本的な違いを反映して、細菌の属およびGES変異体によって著しく異なることが分かりました。
〜に重点を置いて,with a focus on,with a neglect of,with total indifference to,"The team evaluated the newly implemented quality control measures, [   ] workflow optimization.","Because evaluating an entire QMS can be difficult, the NGS QI developed the QMS Assessment Tool, which serves as a valuable resource for users to assess their laboratory’s QMS (with a focus on NGS framework) to generate qualitative and quantitative data.",QMS全体を評価することは難しいため、NGS QIは、ユーザーが定性的および定量的データを生成して自らのラボのQMS（NGSフレームワークに重点を置いて）を評価するための貴重なリソースとなるQMS評価ツールを開発しました。
〜の使用を支持する［後押しする］,supporting the use of,discouraging the adoption of,prohibiting the selection of,"Our findings demonstrated high accuracy, [   ] standard surrogate testing in routine diagnostic procedures.","Conversely, many individual β-lactam results significantly underestimated mecA-mediated resistance in S. pseudintermedius, revealing the risk of reporting false-susceptible results if using these breakpoints and supporting the use of oxacillin as a surrogate agent for β-lactam reporting in veterinary diagnostics.",逆に、個々のβ-ラクタム系薬剤の多くの結果はS. pseudintermediusにおけるmecA介在性耐性を大幅に過小評価しており、これらのブレイクポイントを使用した場合の偽感受性報告のリスクを明らかにするとともに、獣医診断におけるβ-ラクタム報告用のサロゲート薬としてのオキサシリンの使用を後押ししています。
〜として特定されている,has been identified as,has been transformed into,has been discarded by,Multidrug-resistant Acinetobacter baumannii [   ] a top-priority pathogen by the WHO.,Multidrug-resistant (MDR) Acinetobacter baumannii has been identified as a top-priority pathogen by the World Health Organization (WHO) and is a leading cause of nosocomial infections globally.,多剤耐性アシネトバクター・バウマニは、世界保健機関（WHO）によって最優先で対策すべき病原体として特定されており、世界的に院内感染の主要な原因となっている。
〜と関連していることが多い,is often associated with,is rarely isolated from,is strictly prevented by,Polymyxin monotherapy [   ] an increased emergence of bacterial resistance.,"Alarmingly, recent PK/PD studies suggest that polymyxin monotherapy is often associated with an increased emergence of resistance.",驚くべきことに、最近のPK/PD研究では、ポリミキシン単剤療法は耐性菌の出現増加と関連していることが多いことが示唆されている。
これまでのところ / 現在までに,"To date,","In brief,","As a result,","[   ], dosing regimens of this drug combination have not been systematically optimized.","To date, dosing regimens of polymyxin B/rifampicin combinations against MDR A. baumannii have not been systemically optimised.",これまでのところ、多剤耐性A. baumanniiに対するポリミキシンBとリファンピシンの併用投与量の設定は体系的に最適化されていない。
本研究の目的は〜することであった,The aims of this study were to,The main flaws of this paper were to,The unexpected results of the assay were to,[   ] evaluate the pharmacodynamics of drug combinations and conduct mathematical modelling.,The aims of this study were to evaluate the pharmacodynamics (PD) of polymyxin B/rifampicin combinations against MDR A. baumannii and conduct semi-mechanistic pharmacokinetic/pharmacodynamic (PK/PD) modelling and Monte Carlo simulations to predict efficacy against bacteraemia in critically-ill patients.,本研究の目的は、多剤耐性A. baumanniiに対するポリミキシンBとリファンピシン併用療法の薬力学（PD）を評価し、重症患者の菌血症に対する有効性を予測するために半機構論的PK/PDモデリングおよびモンテカルロシミュレーションを実施することであった。
〜に従って / 〜に準拠して,in accordance with,in comparison with,in opposition to,Animal experiments were conducted [   ] the relevant ethical guidelines.,Animal experiments were approved by the Monash University Animal Ethics Committee and conducted in accordance with the Australian Code of Practice for the Care and Use of Animals for Scientific Purposes.,動物実験はモナシュ大学動物倫理委員会の承認を受け、科学的目的のための動物の飼育と使用に関するオーストラリアの行動規範に従って実施された。
過去の観察結果と一致している,is consistent with previous observations,is contradictory to earlier findings,is irrelevant to prior reports,Such bacterial regrowth [   ] in other Gram-negative organisms.,"Such regrowth is indicative of the emergence of resistance and, more importantly, clinical failure, and is consistent with previous observations in other Gram-negative organisms such as K. pneumoniae.",このような細菌の再増殖は耐性の出現、そしてさらに重要なことに臨床的治療失敗を示唆しており、肺炎桿菌（K. pneumoniae）などの他のグラム陰性菌における過去の観察結果と一致している。
〜を示している / 〜の兆候である,is indicative of,is independent of,is substituted for,The enhanced fluorescence signal [   ] pronounced outer membrane damage.,The enhanced PI and DiBAC fluorescence by polymyxin B alone and in combination with rifampicin is indicative of pronounced polymyxin-driven outer membrane damage.,ポリミキシンB単体およびリファンピシンとの併用によるPIおよびDiBAC蛍光強度の増強は、ポリミキシン起因の顕著な外膜損傷を示している。
〜のための貴重なツールとして機能する,serves as a valuable tool for,acts as a major barrier to,causes a severe issue in,The developed semi-mechanistic PK/PD model [   ] optimizing dosage regimens in humans.,The developed semi-mechanistic PK/PD model serves as a valuable tool for optimising dosage regimens of polymyxin combinations in humans using in vitro infection models.,開発された半機構論的PK/PDモデルは、in vitro感染モデルを用いてヒトにおけるポリミキシン併用療法の投与スケジュールを最適化するための貴重なツールとして機能する。
本研究の限界（制限事項）は〜である,A limitation of the present study is,The main strength of our experiment is,The novel finding of this work is,[   ] that only one patient population was examined.,A limitation of the present study is only one patient population was examined.,本研究の限界は、単一の患者集団のみが調査対象となったことである。
〜するには更なる調査が必要である,Further investigations are required to,No more effort is needed to,Previous studies failed to,[   ] translate these clinical findings into routine practice.,Further clinical investigations are required to translate these findings into patients.,これらの知見を実際の患者治療に応用するには、更なる臨床的調査が必要である。
〜において重要な役割を果たす,plays an important role in,has a minor effect on,is completely absent from,Nitric oxide [   ] the mammalian innate immune system.,Nitric oxide (NO) is an endogenously produced free radical that plays an important role in the mammalian innate immune system.,一酸化窒素（NO）は内因性に産生されるフリーラジカルであり、哺乳類の自然免疫系において重要な役割を果たしている。
〜と正の相関を示した,was positively correlated with,was inversely proportional to,was completely unrelated to,The ability to form biofilm [   ] resistance against all tested antibiotics.,"In a study of 83 clinical K. pneumoniae strains, Karimi et al. demonstrated that the ability to form biofilm was positively correlated with resistance against all 15 tested antibiotics.",83の臨床肺炎桿菌（K. pneumoniae）株を用いた研究において、Karimiらはバイオフィルム形成能力がテストした15種すべての抗菌薬に対する耐性と正の相関を示したことを証明した。
〜の必要性を正当化する / 必要とさせる,warrants a need for,eliminates the demand for,reduces the reliance on,The emergence of multidrug-resistant pathogens [   ] novel antibacterial agents.,The emergence of such multidrug-resistant bacteria that cause highly resistant infections warrants a need for novel antibacterial agents.,高度耐性感染症を引き起こすこのような多剤耐性菌の出現は、新規抗菌薬の必要性を裏付けている。
〜の重要性を強調している,underscores the importance of,overlooks the necessity of,minimizes the impact of,The rapid rise of resistance [   ] prudent antimicrobial control.,"As a Reserve drug, the need to maintain low resistance levels cannot be understated and underscores the importance of its prudent control.",温存薬（Reserve drug）として、耐性レベルを低く維持する必要性は軽視できず、その慎重な管理の重要性を強調している。
対照的に / 一方で,"In contrast,","For instance,","In addition,","Group A exhibited rapid cell lysis. [   ], Group B showed no change in cell morphology.","In contrast, rifampicin monotherapy did not affect membrane integrity and mirrored the PI and DiBAC fluorescence intensity of the control group.",対照的に、リファンピシン単剤療法は膜の無頭性に影響を与えず、対照群のPIおよびDiBAC蛍光強度と同じ挙動を示した。
～と一致して、～に沿って,in line with,in terms of,in light of,This result is [   ] in silico promoter prediction results.,This result is in line with in silico promoter prediction results and with the fact that the intergenic region of 25 bp is large enough to contain a putative RBS sequence.,この結果は、in silicoでのプロモーター予測結果や、25 bpの遺伝子間領域が推定RBS配列を含むのに十分な大きさであるという事実と一致している。
～と組み合わせて、～とともに,in conjunction with,in response to,in contrast to,The drug was administered [   ] standard antibiotic therapy.,"In the U.S., a combination of commonly prescribed antibiotics, such as fluoroquinolones and tetracyclines, in conjunction with antitoxin and vaccination, may be given for cases of sporadic outbreak.",米国では、散発的な発生事例に対して、フルオロキノロンやテトラサイクリンなどの一般的に処方される抗菌薬の組み合わせが、抗毒素およびワクチン接種とともに投与されることがある。
～において極めて重要な役割を果たす,plays a pivotal role in,takes a heavy toll on,has a negative impact on,The production of carbapenemases [   ] conferring carbapenem resistance.,"Among the resistance mechanisms of A. baumannii, the production of carbapenemases—particularly OXA-type enzymes—plays a pivotal role in conferring carbapenem resistance.",A. baumanniiの耐性機構の中で、カルバペネマーゼ（特にOXA型酵素）の産生は、カルバペネム耐性を付与する上で極めて重要な役割を果たしている。
～に関する包括的な理解（洞察）を提供する,provides comprehensive insights into,draws definitive conclusions from,poses significant challenges to,Whole-genome sequencing [   ] the genetic makeup of bacterial isolates.,"WGS provides comprehensive insights into the genetic makeup of bacterial isolates, helping to identify resistance genes, plasmid structures, and clonal relationships.",全ゲノム解析（WGS）は細菌分離株の遺伝的構成に関する包括的な理解を提供し、耐性遺伝子、プラスミド構造、およびクローン関係の特定に役立つ。
～として台頭した、～として浮上した,emerged as,resulted in,depended on,Whole-genome sequencing has [   ] a vital tool for understanding resistance mechanisms.,"To combat the spread of CRAb, whole-genome sequencing (WGS) has emerged as a vital tool in understanding the genetic basis of antimicrobial resistance.",CRAbの拡大に対抗するため、全ゲノム解析（WGS）は薬剤耐性の遺伝的基盤を理解するための重要なツールとして台頭してきた。
～の必要性を強調（裏付け）している,underscores the need for,eliminates the demand for,overlooks the importance of,"Regional variability in AMR trends [   ] localized, context-sensitive interventions.","Notably, these trends show substantial regional variability, underscoring the need for localized, context-sensitive interventions.",特に、これらの傾向はかなりの地域的変動を示しており、地域に応じた文脈配慮型の介入の必要性を強調している。
～と一致している、～に矛盾しない,consistent with,incompatible with,independent of,"The addition of clavulanic acid restored susceptibility, [   ] an ESBL phenotype.","The addition of clavulanic acid restored susceptibility to penicillins, consistent with an ESBL phenotype.",クラブラニン酸の添加によりペニシリン系に対する感受性が回復したが、これはESBLフェノタイプと一致している。
～を占めた、～の割合であった,accounted for,referred to,consisted of,"Among the new variants, this gene [   ] the largest proportion of total sequences.","Among these, clbA accounted for the largest number of newly discovered variants (402 sequences).",これらの中で、clbAが新しく発見されたバリアントの最大の数（402配列）を占めた。
～とは対照的に,in contrast to,in addition to,in accordance with,"[   ] the parent strain, all clinical isolates exhibited high-level resistance.","In contrast to ST131, all 40 ST1193 isolates possessed a single fimH type, fimH64.",ST131とは対照的に、40のST1193分離株すべてが単一のfimHタイプであるfimH64を保持していた。
～に従って、～に準拠して,in accordance with,regardless of,in spite of,The new gene variants were designated [   ] established nomenclature rules.,The novel cfr-like genes identified in this study were tentatively designated in accordance with the macrolide-lincosamide-streptogramin B nomenclature system.,本研究で特定された新規cfr様遺伝子群は、マクロライド・リンコサミド・ストレプトグラミンB命名システムに従って仮決定された。
臨床的に重要な可能性（見込み）を秘めている,holds significant clinical potential,shows minimal therapeutic value,lacks substantial evidence,The newly approved oral drug [   ] as it can be leveraged in outpatient settings.,"The first FDA-approved oral penem, sulopenem, holds significant clinical potential as it can be leveraged in outpatient settings.",FDAに承認された最初の経口ペネム薬であるスロペネムは、外来環境で活用できるため、臨床的に重要な可能性を秘めている。
～の評価（検討）を促した,prompted the evaluation,delayed the assessment,prevented the investigation,These positive preliminary results [   ] of the treatment in animal models.,These positive results prompted the evaluation in the rabbit inhalational anthrax model.,これらの肯定的な結果が、ウサギ吸入炭疽モデルでの評価を促した。
さらなる注意（注目）を必要とする／値する,warrants further attention,deserves no consideration,requires immediate dismissal,The persistence of resistant lineages in non-human hosts [   ].,These findings indicate that certain ST131 lineages may persist in non-human and non-companion animal hosts and warrants further attention.,これらの知見は、特定のST131系統がヒトやペット以外の宿主で持続する可能性を示しており、さらなる注意を必要とする。
特に高い関心を集めている／非常に重要である,is of particular interest,is generally ignored,is completely irrelevant,The development of broad-spectrum oral antibiotics [   ] in emergency settings.,"As a mass casualty scenario involving B. anthracis infection may result in serious limitations to inpatient resources, broad-spectrum, oral antibiotics are of particular interest.",炭疽菌感染を伴う多数傷病者発生シナリオは入院医療資源の深刻な制限につながる可能性があるため、広範なスペクトルを持つ経口抗菌薬は特に高い関心を集めている。
～とは際立った対照をなしている,stands in stark contrast to,is nearly identical to,is closely related to,This simple genomic profile [   ] the complex chromosomal context observed in other species.,"This stands in stark contrast to its complex and stable chromosomal context in E. faecalis, suggesting that in E. faecium, cfr(B) may not have undergone deep genomic integration.",これはE. faecalisにおける複雑で安定した染色体文脈とは際立った対照をなしており、E. faeciumではcfr(B)が深いゲノム統合を経ていない可能性を示唆している。
主に〜に起因して,in large part due to,in small comparison to,with direct contrast to,The overall clinical response improved [   ] the implementation of targeted therapy.,CRS3123 has emerged as a promising new drug candidate for CDI in large part due to its exceptionally narrow spectrum coupled with high potency against C difficile.,CRS3123は、C. difficileに対する高い活性と非常に狭い抗菌スペクトルを備えていることに主として起因して、CDIの有望な新規候補薬として浮上した。
〜の直接的な結果である,is a direct consequence of,is an indirect relation to,is a minor addition to,The low incidence of systemic toxicity [   ] the poor oral absorption of the drug.,"The narrow spectrum of CRS3123 is a direct consequence of the phylogenetic distribution of its molecular target, methionyl-tRNA synthetase type 1 (MetRS1).",CRS3123の狭いスペクトルは、その分子標的である1型メチオニルtRNA合成酵素（MetRS1）の系統分類学的分布の直接的な結果である。
治験責任医師により〜と判断された,was judged by an investigator to be,was reported by a patient to be,was suspected by a nurse to be,The patient experienced acute diarrhoea that [   ] caused by the study intervention.,"Enrolled patients were 18 years or older with a clinical diagnosis of CDI, including diarrhoea assessed as Bristol Stool Scale score 5, 6, or 7 and that was judged by an investigator to be caused by C difficile.",登録患者は18歳以上で、ブリストル便形状スケールで5、6、7と評価され、かつ治験責任医師によりC. difficileに起因すると判断された下痢を含むCDIの臨床診断を受けた患者であった。
1:1:1の割合で無作為に割り当てられた,were randomly assigned in a 1:1:1 ratio to,were selectively chosen in a 2:1 ratio for,were intentionally divided without ratio into,Eligible participants [   ] receive one of three distinct treatment schedules.,"Patients were randomly assigned in a 1:1:1 ratio to one of three orally administered treatment regimens using balanced block randomisation, with block sizes of three or six, within each stratification group.",患者は、各層別化グループ内で、ブロックサイズ3または6のバランスブロック無作為化を用いて、3つの経口投与治療計画のいずれかに1:1:1の割合で無作為に割り当てられた。
〜まで試験期間を通じて維持された,was maintained throughout the trial until,was interrupted during the study after,was initiated after the study before,Masking of treatment allocations [   ] the statistical database was locked.,The masking was maintained throughout the trial until the database was locked.,データベースがロックされるまで、マスキングは治験期間を通じて維持された。
〜の間で概ね同等であった,were generally similar between,were significantly higher among,were completely opposite within,Baseline demographic and disease characteristics [   ] the active and control treatment groups.,"Baseline demographic and disease characteristics were generally similar between treatment groups, with a few notable differences.",ベースラインの人口統計学的特性および病勢特性は、いくつかの顕著な違いを除き、治療群間で概ね同等であった。
〜とは無関係と判断された,was deemed unrelated to,was considered caused by,was proven secondary to,"A single severe adverse event occurred during the study, which [   ] the study drug.","There was a single grade 3 TEAE (recurrence of diarrhoea in a patient in the vancomycin group), which was deemed unrelated to the study drug.",グレード3の治療下発現有害事象が1件（バンコマイシン群患者における下痢の再発）認められたが、治験薬とは無関係と判断された。
〜と一致していた,were consistent with,were contradictory to,were independent of,Clinical cure rates observed in the secondary populations [   ] those observed in the main analysis.,Clinical cure rates at the TOC visit in key secondary analysis populations were consistent with clinical cure rates in the ITT population.,主要な副次解析集団における治癒確認（TOC）受診時の臨床治癒率は、ITT集団における臨床治癒率と一致していた。
〜の更なる検証を正当化する,warrant further testing of,prevent additional evaluation on,conclude future studies for,These promising early phase findings [   ] the experimental drug in larger phase 3 trials.,"The safety and efficacy results are promising for this novel, narrow-spectrum agent, and warrant further testing of the drug in phase 3 clinical trials.",安全性および有効性の結果はこの新規狭スペクトル薬にとって有望であり、第3相臨床試験における本薬の更なる検証を正当化するものである。
〜の重要性を強調している,underscoring the importance of,diminishing the need for,overriding the value of,"Resistance to first-line agents has already been reported, [   ] baseline susceptibility screening.","While new regimens are still being scaled globally, resistance to bedaquiline and linezolid has already been observed regionally, underscoring the importance of baseline resistance detection before treatment.",新しい治療法が世界的に普及しつつある一方で、ベダキリンやリネゾリドに対する耐性がすでに地域的に観察されており、治療前のベースライン耐性検出の重要性を強調している。
〜に頼る・依存する,rely on,object to,deviate from,Clinicians must often [   ] culture-based assays to obtain accurate resistance profiles.,"In this context, clinicians rely on growth-based phenotypic drug susceptibility testing (pDST) to obtain comprehensive drug resistance profiles.",このような状況において、臨床医は包括的な薬剤耐性プロファイルを得るために発育に基づく表現型薬剤感受性試験（pDST）に依存している。
高い〜を示した,demonstrated a high,recorded a negligible,overlooked a significant,The targeted sequencing method [   ] success rate when performed on clinical sediment samples.,"The ONT tNGS solution also demonstrated a high sequencing success rate, with 684 (95%) of 720 clinical sediment samples producing complete or partial drug resistance profiles.",ONT tNGSソリューションも高いシーケンス成功率を示し、720個の臨床沈殿物サンプルのうち684個（95%）が完全または部分的な薬剤耐性プロファイルを生成した。
相当な脅威をもたらす,pose a substantial threat,grant a minor relief,reflect a safe option,Emerging drug-resistant bacterial pathogens continue to [   ] to global public health.,"Antibiotic-resistant N gonorrhoeae was also categorised as high priority given its increasing burden and resistance to available treatments, which pose a substantial threat.",耐性淋菌は、その疾病負荷の増大と利用可能な治療法への耐性を踏まえ、相当な脅威をもたらすことから高優先度に分類された。
〜に関連する重要な疑問を提起する,raise important questions relevant to,provide definitive answers regarding,dismiss major concerns related to,These unexpected mortality trends [   ] clinical management and antimicrobial stewardship policies.,"Our findings raise important questions relevant to clinicians, hospital leaders, policy makers, and other stakeholders.",我々の知見は、臨床医、病院の指導者、政策立案者、その他のステークホルダーに関連する重要な疑問を提起している。
我々の知る限りでは,To the best of our knowledge,In spite of our ignorance,According to future estimates,"[   ], this study represents the first multi-center diagnostic evaluation in LMIC settings.","To the best of our knowledge, this study represents the largest US cohort of patients with DTR Gram-negative infections to date.",我々の知る限り、本研究はこれまでに報告された難治性耐性（DTR）グラム陰性菌感染症患者を対象とした全米最大のコホートを表している。
深刻な公衆衛生上の脅威となっている,poses a serious public health threat,causes a minor medical issue,alleviates a global health crisis,Escalating antimicrobial resistance [   ] globally.,Multidrug resistant (MDR) Enterobacterales bacteria have emerged as a serious public health threat.,多剤耐性（MDR）腸内細菌目細菌は、深刻な公衆衛生上の脅威として浮上している。
〜として浮上した,emerged as,disappeared from,resulted in,Novel pathogens have [   ] major concerns in infectious disease control.,Multidrug resistant (MDR) Enterobacterales bacteria have emerged as a serious public health threat.,多剤耐性（MDR）腸内細菌目細菌は、深刻な公衆衛生上の脅威として浮上している。
〜の複雑さをさらに増しているのは,Adding to the complexity of,Simplifying the structure of,Removing the burden of,"[   ] the disease, multiple genetic variants were identified.","Adding to the complexity of this group of pathogens, the determinants of resistance yielding the ESCR phenotype might be chromosomal, transferable ARGs on MGEs, or contain both, and are often MDR.",この病原体群の複雑さをさらに増しているのは、ESCR表現型をもたらす耐性決定要因が染色体性であったり、MGE上の伝達性ARGであったり、あるいはその両方を含んでいたりすることであり、しばしば多剤耐性を示すことである。
〜として機能する / 役割を果たす,serve as,refrain from,interfere with,Environmental surfaces may [   ] major reservoirs for bacterial transmission.,"Relevant to those findings, prior studies of household transmission of community-acquired methicillin-resistant Staphylococcus aureus (MRSA) in St. Louis, Missouri, USA, have demonstrated that multiple environmental surfaces serve as reservoirs for community-acquired MRSA transmission.",これらの知見に関連して、米国ミズーリ州セントルイスにおける市中獲得型メチシリン耐性黄色ブドウ球菌（MRSA）の家庭内伝播に関する先行研究では、複数の環境表面が市中獲得型MRSA伝播の貯留巣として機能していることが示されている。
有意傾向を示した,trended toward significance,achieved statistical power,failed without exception,The association between the variables [   ] in the multivariate analysis.,"having ≥1 member of the family with private insurance trended toward significance and was included in the final model (aOR = 0.44, 95% CI 0.16–1.22; p = 0.11).",民間保険に加入している家族が1人以上いることは有意傾向を示し（aOR = 0.44、95% CI 0.16–1.22、p = 0.11）、最終モデルに含まれた。
〜に焦点を当てた,focused on,diverted from,overlooked by,"In this study, we [   ] identifying key risk factors in pediatric patients.","In this study, we focused on understanding the role of the household in acquisition and transmission of MDR Enterobacterales, factors associated with increased or decreased risk for household colonization, the principal genetic determinants, and the relatedness of MDR Enterobacterales strains in community settings.",本研究では、地域社会における多剤耐性腸内細菌目細菌の獲得および伝播における家庭の役割、家庭内定着のリスク増加または低下に関連する因子、主要な遺伝的決定要因、および多剤耐性腸内細菌目細菌株の関連性の解明に焦点を当てた。
〜と一致している,consistent with,contradictory to,independent of,The current results are [   ] previous observations in similar cohorts.,"Those findings are consistent with the continued increases of ESCR Enterobacterales in community settings, despite the successes of aggressive infection prevention and control campaigns in healthcare settings.",これらの知見は、医療施設における積極的な感染予防・管理キャンペーンが成功しているにもかかわらず、市中環境においてESCR腸内細菌目細菌が増加し続けていることと一致している。
〜の必要性を強調している,underscore the need for,eliminate the demand for,question the urgency of,These findings [   ] continuous surveillance of antimicrobial resistance.,"The increasing reports of gonococci resistance, particularly in NSW, underscore the need for enhanced knowledge in local epidemiology and transmission networks.",特にニューサウスウェールズ州における淋菌耐性の報告の増加は、地域の疫学および伝播ネットワークに関する知識の強化の必要性を強調している。
公衆衛生上の対応を促す,prompt a public health response,delay clinical trial enrollment,ignore epidemiological tracking,The detection of highly resistant bacterial strains should [   ].,N. gonorrhoeae isolates with ceftriaxone DS (MIC > 0.125 mg/L) or azithromycin HLR (MIC > 256 mg/L) or both are designated as being of public health concern (PHC) and prompt a public health response.,セフトリアキソンDS（MIC > 0.125 mg/L）またはアジスロマイシンHLR（MIC > 256 mg/L）、あるいはその両方を示す淋菌分離株は、公衆衛生上の懸念（PHC）として指定され、公衆衛生上の対応を促す。
対照的に,In contrast,In addition,For instance,"[   ], patients in the second cohort exhibited significantly higher antibody titers.","In contrast, case-patients with azithromycin HLR were predominantly male (97.5% vs. 68.5% cases with ceftriaxone DS; p<0.001) and reported sexual exposures with men only (MSM) (87.5% vs. 25.9%; p<0.001).",対照的に、アジスロマイシンHLRの症例患者は圧倒的に男性が多く（セフトリアキソンDS症例の68.5%に対し97.5%、p<0.001）、男性とのみの性的接触（MSM）を報告していた（25.9%に対し87.5%、p<0.001）。
〜を考慮して / 〜を踏まえて,in light of,regardless of,in opposition to,Treatment protocols were updated [   ] recent clinical trial data.,Optimal disease control strategies remain unclear in light of increasing reports of antimicrobial resistance (AMR) and very limited global surveillance.,薬剤耐性（AMR）の報告の増加と非常に限られた世界的な監視を踏まえると、最適な疾患管理戦略は依然として不明確である。
〜の始まりを告げた,heralded the beginning of,marked the end of,prevented the progress of,The discovery of novel antibiotics [   ] modern antimicrobial therapy.,"In 2015, the emergence and subsequent spread of the ceftriaxone-resistant N. gonorrhoeae FC428 clone (i.e., strains harboring the ceftriaxone-resistance determinant) heralded the beginning of an era of increasing uncertainty regarding future antimicrobial drug management strategies.",2015年、セフトリアキソン耐性淋菌FC428クローンの出現とその後の拡散は、将来の抗菌薬管理戦略に関する不確実性が増す時代の始まりを告げた。
〜を受ける / 〜の影響を受けやすい,is subject to,is immune to,is composed of,The interpretation of retrospective data [   ] selection bias.,Relying on the identification of treatment failure as an alternative signal of resistance is subject to many limitations.,耐性の代替シグナルとして治療失敗の特定に依存することは、多くの限界に左右される。
〜が必要とされている / 正当化される,are warranted,are prohibited,are rendered obsolete,Further clinical trials [   ] to confirm the therapeutic efficacy of the novel drug.,"Finally, clinical trials are warranted not only to determine the efficacy of ceftriaxone in the era of increasing ceftriaxone resistance but also to better define the relationship between AMR in N. gonorrhoeae and treatment failures.",最後に、セフトリアキソン耐性が増加する時代においてセフトリアキソンの有効性を判断するだけでなく、淋菌におけるAMRと治療失敗との関係をより明確にするためにも、臨床試験が必要とされている。
同時に発生した / 共存した,frequently co-occurred,rarely interacted,mutually excluded,Genetic markers associated with resistance [   ] in the isolated strains.,"Across all encounters, resistance-associated markers frequently co-occurred.",すべての受診例において、耐性関連マーカーが頻繁に同時に発生（共存）していた。
未だ明らかになっておらず（謎のままであり）,remains elusive,remains abundant,remains redundant,The exact underlying molecular mechanism [   ] and requires further investigation.,"However, the full landscape of microorganism-antimicrobial combinations contributing to antibiotic heteroresistance remains elusive and requires further investigation.",しかし、抗菌薬ヘテロ耐性に寄与する微生物と抗菌薬の組み合わせの全貌は未だ明らかになっておらず、さらなる調査が必要である。
〜として特に際立っている・優れている,stands out as,turns out as,sets out as,Bibliometric analysis [   ] a crucial tool for systematically evaluating research trends.,"With the continual expansion of antibiotic heteroresistance research in both scope and complexity, bibliometric analysis stands out as a crucial tool for the systematic evaluation of its evolving research landscape.",抗菌薬ヘテロ耐性研究が規模と複雑さの両面で拡大し続ける中、文献情報分析は進歩する研究動向を体系的に評価するための非常に重要なツールとして際立っている。
